layer,epsilon,cc,tag,mode,K,N,seed_a,seed_b,comp_a,comp_b,cosine_components,score_corr,label_a,label_b,label_token_jaccard
13,2.0,disambig,flip,rejected,10,200,0,1,9,7,0.5925213694572449,-0.017012317318325466,MANUAL,MANUAL,1.0
13,2.0,disambig,noflip,chosen,10,200,0,1,0,0,0.9878286123275757,0.04116975418618813,MANUAL,MANUAL,1.0
13,2.0,disambig,noflip,chosen,10,200,0,1,1,4,0.039041537791490555,-0.011933859334095187,MANUAL,MANUAL,1.0
13,2.0,disambig,noflip,chosen,10,200,0,1,2,2,0.8412117958068848,0.011207410069963529,MANUAL,MANUAL,1.0
13,2.0,disambig,noflip,chosen,10,200,0,1,3,1,0.05655795708298683,-0.06623698899160417,MANUAL,MANUAL,1.0
13,2.0,disambig,noflip,chosen,10,200,0,1,4,6,0.46231701970100403,0.0684871028676013,MANUAL,MANUAL,1.0
13,2.0,disambig,noflip,chosen,10,200,0,1,5,9,0.4760085940361023,0.024996467574320377,MANUAL,MANUAL,1.0
13,2.0,disambig,noflip,chosen,10,200,0,1,6,5,0.6987503170967102,-0.016148264402744483,MANUAL,MANUAL,1.0
13,2.0,disambig,noflip,chosen,10,200,0,1,7,3,0.09269130975008011,0.17461044924596428,MANUAL,MANUAL,1.0
13,2.0,disambig,noflip,chosen,10,200,0,1,8,8,0.41757723689079285,0.007240244659220023,MANUAL,MANUAL,1.0
13,2.0,disambig,noflip,chosen,10,200,0,1,9,7,0.13292285799980164,0.08841852013656089,MANUAL,MANUAL,1.0
13,2.0,disambig,noflip,rejected,10,200,0,1,0,0,0.9878510236740112,-0.008229949263832437,MANUAL,MANUAL,1.0
13,2.0,disambig,noflip,rejected,10,200,0,1,1,3,0.1106782853603363,0.018935636498879332,MANUAL,MANUAL,1.0
13,2.0,disambig,noflip,rejected,10,200,0,1,2,1,0.08920706808567047,-0.06791042248964545,MANUAL,MANUAL,1.0
13,2.0,disambig,noflip,rejected,10,200,0,1,3,2,0.627783477306366,0.06285198681371637,MANUAL,MANUAL,1.0
13,2.0,disambig,noflip,rejected,10,200,0,1,4,4,0.3331688940525055,0.08470110210907691,MANUAL,MANUAL,1.0
13,2.0,disambig,noflip,rejected,10,200,0,1,5,7,0.34771066904067993,0.15424292572545922,MANUAL,MANUAL,1.0
13,2.0,disambig,noflip,rejected,10,200,0,1,6,6,0.46313872933387756,0.06099281889533295,MANUAL,MANUAL,1.0
13,2.0,disambig,noflip,rejected,10,200,0,1,7,8,0.32109880447387695,0.1224663718280269,MANUAL,MANUAL,1.0
13,2.0,disambig,noflip,rejected,10,200,0,1,8,5,0.4221636950969696,-0.013270770387965813,MANUAL,MANUAL,1.0
13,2.0,disambig,noflip,rejected,10,200,0,1,9,9,0.19762051105499268,-0.035315443577009054,MANUAL,MANUAL,1.0
13,2.8,ambig,flip,chosen,10,200,0,1,0,3,0.17231114208698273,0.023864451379410744,MANUAL,MANUAL,1.0
13,2.8,ambig,flip,chosen,10,200,0,1,1,1,0.9273784756660461,0.013870245870704592,MANUAL,MANUAL,1.0
13,2.8,ambig,flip,chosen,10,200,0,1,2,0,0.22138701379299164,0.00691736305025161,MANUAL,MANUAL,1.0
13,2.8,ambig,flip,chosen,10,200,0,1,3,4,0.28296756744384766,0.04454900455720765,MANUAL,MANUAL,1.0
13,2.8,ambig,flip,chosen,10,200,0,1,4,5,0.8136146664619446,0.06072727310537224,MANUAL,MANUAL,1.0
13,2.8,ambig,flip,chosen,10,200,0,1,5,9,-0.023084279149770737,-0.05234129392445633,MANUAL,MANUAL,1.0
13,2.8,ambig,flip,chosen,10,200,0,1,6,6,0.6721851825714111,0.03801119457442537,MANUAL,MANUAL,1.0
13,2.8,ambig,flip,chosen,10,200,0,1,7,7,0.5586427450180054,-0.002898120918675748,MANUAL,MANUAL,1.0
13,2.8,ambig,flip,chosen,10,200,0,1,8,8,0.337880402803421,0.07255977982974927,MANUAL,MANUAL,1.0
13,2.8,ambig,flip,chosen,10,200,0,1,9,2,-0.06895329803228378,-0.054709929382846426,MANUAL,MANUAL,1.0
13,2.8,ambig,flip,rejected,10,200,0,1,0,0,0.9649257659912109,0.041646354110029205,MANUAL,MANUAL,1.0
13,2.8,ambig,flip,rejected,10,200,0,1,1,9,-0.013219943270087242,-0.0757938011790428,MANUAL,MANUAL,1.0
13,2.8,ambig,flip,rejected,10,200,0,1,2,2,0.7510780692100525,0.20103668089231497,MANUAL,MANUAL,1.0
13,2.8,ambig,flip,rejected,10,200,0,1,3,1,0.13608649373054504,-0.028640393650572353,MANUAL,MANUAL,1.0
