seed,layer,epsilon,cc,tag,mode,K,N,component,label,label_is_parse_error,mean_abs_score,winner_freq,mean_share,evr
0,13,1.0,disambig,noflip,rejected,10,200,1,MANUAL,False,0.16177301108837128,0.06499999761581421,0.1028260812163353,0.06938112527132034
0,13,1.0,disambig,noflip,rejected,10,200,3,MANUAL,False,0.1444227248430252,0.04500000178813934,0.11468768119812012,0.04350396245718002
0,13,1.0,disambig,noflip,rejected,10,200,2,MANUAL,False,0.14154919981956482,0.02500000037252903,0.08874097466468811,0.05369114875793457
0,13,1.0,disambig,noflip,rejected,10,200,6,MANUAL,False,0.1023113802075386,0.0,0.06842479854822159,0.023593543097376823
0,13,1.0,disambig,noflip,rejected,10,200,7,MANUAL,False,0.09586824476718903,0.009999999776482582,0.06480731815099716,0.020733268931508064
0,13,1.0,disambig,noflip,rejected,10,200,4,MANUAL,False,0.09498655050992966,0.004999999888241291,0.06043753772974014,0.02618572860956192
0,13,1.0,disambig,noflip,rejected,10,200,5,MANUAL,False,0.09339682757854462,0.009999999776482582,0.06013822555541992,0.02430361695587635
0,13,1.0,disambig,noflip,rejected,10,200,8,MANUAL,False,0.08725316822528839,0.009999999776482582,0.05836615711450577,0.020211094990372658
0,13,1.0,disambig,noflip,rejected,10,200,9,MANUAL,False,0.07637200504541397,0.0,0.048482343554496765,0.016442134976387024
0,13,1.0,ambig,flip,chosen,2,2,0,MANUAL,False,0.3054743707180023,1.0,0.9999988079071045,1.0
0,13,1.0,ambig,flip,chosen,2,2,1,MANUAL,False,3.5902485251426697e-07,0.0,1.1753013495763298e-06,2.5396422097914196e-16
0,13,1.0,ambig,flip,rejected,2,2,0,MANUAL,False,0.29445892572402954,1.0,0.9999998807907104,1.0
0,13,1.0,ambig,flip,rejected,2,2,1,MANUAL,False,1.816079020500183e-08,0.0,6.167511656940405e-08,7.703634212203984e-15
0,13,2.0,ambig,flip,chosen,10,200,1,MANUAL,False,0.3118220865726471,0.20999999344348907,0.16193825006484985,0.12587688863277435
0,13,2.0,ambig,flip,chosen,10,200,0,MANUAL,False,0.30098193883895874,0.28999999165534973,0.15766829252243042,0.13511769473552704
0,13,2.0,ambig,flip,chosen,10,200,2,MANUAL,False,0.23012971878051758,0.20499999821186066,0.11722263693809509,0.0874728262424469
0,13,2.0,ambig,flip,chosen,10,200,3,MANUAL,False,0.22429092228412628,0.1550000011920929,0.11794428527355194,0.0736304447054863
0,13,2.0,ambig,flip,chosen,10,200,4,MANUAL,False,0.18348737061023712,0.054999999701976776,0.0941552221775055,0.04788607358932495
0,13,2.0,ambig,flip,chosen,10,200,5,MANUAL,False,0.16980284452438354,0.04500000178813934,0.08914228528738022,0.04201742634177208
0,13,2.0,ambig,flip,chosen,10,200,6,MANUAL,False,0.14091381430625916,0.014999999664723873,0.07417140901088715,0.028847984969615936
0,13,2.0,ambig,flip,chosen,10,200,7,MANUAL,False,0.13262930512428284,0.004999999888241291,0.06881245970726013,0.025348428636789322
0,13,2.0,ambig,flip,chosen,10,200,9,MANUAL,False,0.11247024685144424,0.004999999888241291,0.059962544590234756,0.01940985769033432
0,13,2.0,ambig,flip,chosen,10,200,8,MANUAL,False,0.1123899519443512,0.014999999664723873,0.058982621878385544,0.01979546621441841
0,13,2.0,ambig,flip,rejected,10,200,0,MANUAL,False,0.3492664396762848,0.44999998807907104,0.20763187110424042,0.17547507584095
0,13,2.0,ambig,flip,rejected,10,200,2,MANUAL,False,0.21403537690639496,0.1550000011920929,0.12720996141433716,0.07094531506299973
0,13,2.0,ambig,flip,rejected,10,200,1,MANUAL,False,0.20393529534339905,0.16500000655651093,0.11522620916366577,0.07956452667713165
0,13,2.0,ambig,flip,rejected,10,200,4,MANUAL,False,0.1569724678993225,0.054999999701976776,0.08843034505844116,0.045223891735076904
0,13,2.0,ambig,flip,rejected,10,200,3,MANUAL,False,0.14908863604068756,0.04500000178813934,0.08029378205537796,0.05419020354747772
0,13,2.0,ambig,flip,rejected,10,200,5,MANUAL,False,0.14883674681186676,0.05999999865889549,0.08779960870742798,0.04033496975898743
0,13,2.0,ambig,flip,rejected,10,200,6,MANUAL,False,0.13642960786819458,0.02500000037252903,0.08000437915325165,0.03140173852443695
0,13,2.0,ambig,flip,rejected,10,200,7,MANUAL,False,0.1260681003332138,0.019999999552965164,0.07523617893457413,0.024688752368092537
0,13,2.0,ambig,flip,rejected,10,200,8,MANUAL,False,0.11890925467014313,0.014999999664723873,0.07105838507413864,0.023298272863030434
0,13,2.0,ambig,flip,rejected,10,200,9,MANUAL,False,0.11572042107582092,0.009999999776482582,0.06710927933454514,0.02050652541220188
