seed,layer,epsilon,cc,tag,mode,component,label,field,pearson_corr
0,13,1.0,ambig,flip,rejected,4,MANUAL,delta_max_token_l2,0.05629410869994044
0,13,1.0,ambig,flip,rejected,5,MANUAL,delta_max_token_l2,-0.029514229389640777
0,13,1.0,ambig,flip,rejected,6,MANUAL,delta_max_token_l2,-0.14712109249719252
0,13,1.0,ambig,flip,rejected,7,MANUAL,delta_max_token_l2,0.01870405440988351
0,13,1.0,ambig,flip,rejected,8,MANUAL,delta_max_token_l2,-0.18541986136731659
0,13,1.0,ambig,flip,rejected,9,MANUAL,delta_max_token_l2,0.13016510510801532
0,13,1.0,ambig,flip,rejected,0,MANUAL,delta_mean_token_l2,0.051820913497040134
0,13,1.0,ambig,flip,rejected,1,MANUAL,delta_mean_token_l2,0.11926283933912354
0,13,1.0,ambig,flip,rejected,2,MANUAL,delta_mean_token_l2,0.1377712815453716
0,13,1.0,ambig,flip,rejected,3,MANUAL,delta_mean_token_l2,-0.04859635408152126
0,13,1.0,ambig,flip,rejected,4,MANUAL,delta_mean_token_l2,-0.03016729456091439
0,13,1.0,ambig,flip,rejected,5,MANUAL,delta_mean_token_l2,0.0214769018363933
0,13,1.0,ambig,flip,rejected,6,MANUAL,delta_mean_token_l2,-0.0448678831249947
0,13,1.0,ambig,flip,rejected,7,MANUAL,delta_mean_token_l2,-0.20229499459606534
0,13,1.0,ambig,flip,rejected,8,MANUAL,delta_mean_token_l2,-0.005396859763598653
0,13,1.0,ambig,flip,rejected,9,MANUAL,delta_mean_token_l2,-0.06838536587158546
0,13,1.0,ambig,flip,rejected,0,MANUAL,flipped,-0.3512271997378385
0,13,1.0,ambig,flip,rejected,1,MANUAL,flipped,0.23931872613158975
0,13,1.0,ambig,flip,rejected,2,MANUAL,flipped,-0.2977263173581216
0,13,1.0,ambig,flip,rejected,3,MANUAL,flipped,-0.052967739963722664
0,13,1.0,ambig,flip,rejected,4,MANUAL,flipped,-0.09682210720938504
0,13,1.0,ambig,flip,rejected,5,MANUAL,flipped,0.23972780261929905
0,13,1.0,ambig,flip,rejected,6,MANUAL,flipped,-0.05449300409972164
0,13,1.0,ambig,flip,rejected,7,MANUAL,flipped,0.1535878806263817
0,13,1.0,ambig,flip,rejected,8,MANUAL,flipped,-0.11390015019231052
0,13,1.0,ambig,flip,rejected,9,MANUAL,flipped,-0.10458708928686358
0,13,1.0,ambig,noflip,chosen,0,MANUAL,reward_delta,-0.46712733777466764
0,13,1.0,ambig,noflip,chosen,1,MANUAL,reward_delta,-0.33251134177144015
0,13,1.0,ambig,noflip,chosen,2,MANUAL,reward_delta,0.08813996861579251
0,13,1.0,ambig,noflip,chosen,3,MANUAL,reward_delta,-0.2415700169560606
0,13,1.0,ambig,noflip,chosen,4,MANUAL,reward_delta,0.3577673908505646
0,13,1.0,ambig,noflip,chosen,5,MANUAL,reward_delta,0.28113605517888784
0,13,1.0,ambig,noflip,chosen,6,MANUAL,reward_delta,-0.18743228915811327
0,13,1.0,ambig,noflip,chosen,7,MANUAL,reward_delta,0.04667949212058057
0,13,1.0,ambig,noflip,chosen,8,MANUAL,reward_delta,-0.017010449279195643
0,13,1.0,ambig,noflip,chosen,9,MANUAL,reward_delta,-0.10779672829390402
0,13,1.0,ambig,noflip,chosen,0,MANUAL,clean_margin,-0.1065077435867696
0,13,1.0,ambig,noflip,chosen,1,MANUAL,clean_margin,-0.11559428874699203
0,13,1.0,ambig,noflip,chosen,2,MANUAL,clean_margin,0.19318810285673105
0,13,1.0,ambig,noflip,chosen,3,MANUAL,clean_margin,-0.26691000554370486
0,13,1.0,ambig,noflip,chosen,4,MANUAL,clean_margin,0.4701828554027257
0,13,1.0,ambig,noflip,chosen,5,MANUAL,clean_margin,0.40399373720199866
0,13,1.0,ambig,noflip,chosen,6,MANUAL,clean_margin,-0.09248657702350516
0,13,1.0,ambig,noflip,chosen,7,MANUAL,clean_margin,0.3823677956542949
0,13,1.0,ambig,noflip,chosen,8,MANUAL,clean_margin,-0.08212928185342326
0,13,1.0,ambig,noflip,chosen,9,MANUAL,clean_margin,0.0562849506772554
0,13,1.0,ambig,noflip,chosen,0,MANUAL,adv_margin,-0.2598801622248608
0,13,1.0,ambig,noflip,chosen,1,MANUAL,adv_margin,-0.17685380382021984
0,13,1.0,ambig,noflip,chosen,2,MANUAL,adv_margin,0.10158264243805783
0,13,1.0,ambig,noflip,chosen,3,MANUAL,adv_margin,-0.21805590150231813
0,13,1.0,ambig,noflip,chosen,4,MANUAL,adv_margin,0.5609301253239741
0,13,1.0,ambig,noflip,chosen,5,MANUAL,adv_margin,0.38682486368382124
