direction_id,direction_source_dataset,direction_component,direction_label,direction_is_global_baseline,target_dataset,alpha,n_examples,n_base,flip_rate,flip_rate_ci_lo,flip_rate_ci_hi,mean_delta_margin,mean_delta_margin_ci_lo,mean_delta_margin_ci_hi,mean_clean_margin,mean_adv_margin
mmlu:c0,mmlu,0,Moral Judgment Direction,False,gsm_mc,0.3,100,67,0.014925373134328358,0.0,0.04477611940298507,0.026624755859375,0.006329925537109375,0.04883392333984375,1.21274169921875,1.239366455078125
mmlu:c0,mmlu,0,Moral Judgment Direction,False,math_mc,0.3,100,75,0.0,0.0,0.0,0.07969436645507813,0.05480507278442383,0.10582123565673827,2.0797071838378907,2.159401550292969
mmlu:c0,mmlu,0,Moral Judgment Direction,False,mmlu,0.3,100,72,0.0,0.0,0.0,0.04916355133056641,0.02896636199951172,0.0688039846420288,0.9611672592163086,1.010330810546875
mmlu:c0,mmlu,0,Moral Judgment Direction,False,sgxs,0.3,100,50,0.06,0.0,0.14,-0.00015625,-0.015,0.015472656249999996,0.0525,0.05234375
mmlu:c0,mmlu,0,Moral Judgment Direction,False,bbq,0.5,100,38,0.02631578947368421,0.0,0.07894736842105263,-0.05139892578125,-0.08460565185546876,-0.01762708282470703,-0.5638653564453125,-0.6152642822265625
mmlu:c0,mmlu,0,Moral Judgment Direction,False,gsm_mc,0.5,100,67,0.014925373134328358,0.0,0.04477611940298507,0.0401727294921875,0.010804275512695314,0.07160232543945312,1.21274169921875,1.2529144287109375
mmlu:c0,mmlu,0,Moral Judgment Direction,False,math_mc,0.5,100,75,0.0,0.0,0.0,0.12417400360107422,0.08588290500640869,0.16461943054199218,2.0797071838378907,2.2038811874389648
mmlu:c0,mmlu,0,Moral Judgment Direction,False,mmlu,0.5,100,72,0.0,0.0,0.0,0.08062595367431641,0.04947778987884522,0.11003927612304687,0.9611672592163086,1.041793212890625
mmlu:c0,mmlu,0,Moral Judgment Direction,False,sgxs,0.5,100,50,0.04,0.0,0.1,0.0009375,-0.017191406250000003,0.019851562499999992,0.0525,0.0534375
mmlu:c0,mmlu,0,Moral Judgment Direction,False,bbq,1.0,100,38,0.02631578947368421,0.0,0.07894736842105263,-0.1112762451171875,-0.16858343505859377,-0.05241319274902344,-0.5638653564453125,-0.6751416015625
mmlu:c0,mmlu,0,Moral Judgment Direction,False,gsm_mc,1.0,100,67,0.0,0.0,0.0,0.102305908203125,0.042544418334960935,0.16122395324707026,1.21274169921875,1.315047607421875
mmlu:c0,mmlu,0,Moral Judgment Direction,False,math_mc,1.0,100,75,0.0,0.0,0.0,0.2515452575683594,0.17670027542114258,0.32717400360107424,2.0797071838378907,2.33125244140625
mmlu:c0,mmlu,0,Moral Judgment Direction,False,mmlu,1.0,100,72,0.0,0.0,0.0,0.1591305923461914,0.09472670650482178,0.2247126302719116,0.9611672592163086,1.1202978515625
mmlu:c0,mmlu,0,Moral Judgment Direction,False,sgxs,1.0,100,50,0.06,0.0,0.14,0.00109375,-0.02767578125,0.030945312499999992,0.0525,0.05359375
sgxs:c0,sgxs,0,Safety vs. Harmful Queries,False,bbq,0.1,100,38,0.02631578947368421,0.0,0.07894736842105263,0.000507354736328125,-0.011559226989746095,0.013709102630615231,-0.5638653564453125,-0.5633580017089844
sgxs:c0,sgxs,0,Safety vs. Harmful Queries,False,gsm_mc,0.1,100,67,0.014925373134328358,0.0,0.04477611940298507,-0.002444915771484375,-0.014199081420898436,0.00988125991821288,1.21274169921875,1.2102967834472655
sgxs:c0,sgxs,0,Safety vs. Harmful Queries,False,math_mc,0.1,100,75,0.0,0.0,0.0,0.007649383544921875,-0.0037793121337890627,0.019120887756347654,2.0797071838378907,2.0873565673828125
sgxs:c0,sgxs,0,Safety vs. Harmful Queries,False,mmlu,0.1,100,72,0.0,0.0,0.0,0.004101905822753906,-0.006891791343688965,0.015421309471130368,0.9611672592163086,0.9652691650390625
sgxs:c0,sgxs,0,Safety vs. Harmful Queries,False,sgxs,0.1,100,50,0.06,0.0,0.14,-0.00234375,-0.01515625,0.010316406249999997,0.0525,0.05015625
sgxs:c0,sgxs,0,Safety vs. Harmful Queries,False,bbq,0.3,100,38,0.0,0.0,0.0,-0.019642333984375,-0.031998565673828125,-0.00698747253417969,-0.5638653564453125,-0.5835076904296875
sgxs:c0,sgxs,0,Safety vs. Harmful Queries,False,gsm_mc,0.3,100,67,0.014925373134328358,0.0,0.04477611940298507,0.00612060546875,-0.00942657470703125,0.020813842773437497,1.21274169921875,1.2188623046875
sgxs:c0,sgxs,0,Safety vs. Harmful Queries,False,math_mc,0.3,100,75,0.0,0.0,0.0,0.027167816162109375,0.012424766540527344,0.041663833618164066,2.0797071838378907,2.106875
sgxs:c0,sgxs,0,Safety vs. Harmful Queries,False,mmlu,0.3,100,72,0.013888888888888888,0.0,0.041666666666666664,0.010592994689941406,-0.0021887960433959962,0.024566368103027342,0.9611672592163086,0.97176025390625
sgxs:c0,sgxs,0,Safety vs. Harmful Queries,False,sgxs,0.3,100,50,0.02,0.0,0.06,0.00921875,-0.006566406249999999,0.025164062499999994,0.0525,0.06171875
sgxs:c0,sgxs,0,Safety vs. Harmful Queries,False,bbq,0.5,100,38,0.05263157894736842,0.0,0.13157894736842105,-0.04943878173828125,-0.06917456817626953,-0.029686187744140623,-0.5638653564453125,-0.6133041381835938
sgxs:c0,sgxs,0,Safety vs. Harmful Queries,False,gsm_mc,0.5,100,67,0.014925373134328358,0.0,0.04477611940298507,0.0104534912109375,-0.009331893920898436,0.03091955566406249,1.21274169921875,1.2231951904296876
sgxs:c0,sgxs,0,Safety vs. Harmful Queries,False,math_mc,0.5,100,75,0.0,0.0,0.0,0.031247406005859374,0.011793231964111328,0.05013113021850585,2.0797071838378907,2.11095458984375
sgxs:c0,sgxs,0,Safety vs. Harmful Queries,False,mmlu,0.5,100,72,0.0,0.0,0.0,0.015948829650878907,0.0004449539184570318,0.0333851842880249,0.9611672592163086,0.9771160888671875
sgxs:c0,sgxs,0,Safety vs. Harmful Queries,False,sgxs,0.5,100,50,0.06,0.0,0.14,0.0203125,0.0010898437500000003,0.04156640625,0.0525,0.0728125
sgxs:c0,sgxs,0,Safety vs. Harmful Queries,False,bbq,1.0,100,38,0.07894736842105263,0.0,0.18421052631578946,-0.0942962646484375,-0.12550410461425782,-0.06302051544189453,-0.5638653564453125,-0.65816162109375
sgxs:c0,sgxs,0,Safety vs. Harmful Queries,False,gsm_mc,1.0,100,67,0.014925373134328358,0.0,0.04477611940298507,0.040203857421875,0.008968414306640625,0.0694302978515625,1.21274169921875,1.252945556640625
sgxs:c0,sgxs,0,Safety vs. Harmful Queries,False,math_mc,1.0,100,75,0.0,0.0,0.0,0.056461944580078124,0.026807701110839844,0.08820669937133789,2.0797071838378907,2.136169128417969
sgxs:c0,sgxs,0,Safety vs. Harmful Queries,False,mmlu,1.0,100,72,0.0,0.0,0.0,0.028720436096191407,0.005597421646118165,0.0530229320526123,0.9611672592163086,0.9898876953125
sgxs:c0,sgxs,0,Safety vs. Harmful Queries,False,sgxs,1.0,100,50,0.06,0.0,0.14,0.0315625,-0.00296875,0.06578515624999999,0.0525,0.0840625
